episode,algorithm,mode,total_reward,steps,is_best,best_reward_so_far,best_steps_so_far
228,q_learning,train,28.199999999999967,300,0,135.5,300
229,q_learning,train,-21.999999999999975,74,0,135.5,300
230,q_learning,train,-25.699999999999967,181,0,135.5,300
231,q_learning,train,12.600000000000001,179,0,135.5,300
232,q_learning,train,-19.099999999999973,81,0,135.5,300
233,q_learning,train,-3.0,20,0,135.5,300
234,q_learning,train,-4.5,22,0,135.5,300
235,q_learning,train,-16.400000000000006,112,0,135.5,300
236,q_learning,train,-3.0,22,0,135.5,300
237,q_learning,train,1.4000000000000163,77,0,135.5,300
238,q_learning,train,-3.5,20,0,135.5,300
239,q_learning,train,-23.79999999999998,177,0,135.5,300
240,q_learning,train,-4.900000000000003,100,0,135.5,300
241,q_learning,train,-12.400000000000004,77,0,135.5,300
242,q_learning,train,76.0,300,0,135.5,300
243,q_learning,train,71.89999999999998,300,0,135.5,300
244,q_learning,train,81.0,300,0,135.5,300
245,q_learning,train,6.600000000000083,198,0,135.5,300
246,q_learning,train,-1.9999999999999858,126,0,135.5,300
247,q_learning,train,0.5,20,0,135.5,300
248,q_learning,train,60.89999999999999,160,0,135.5,300
249,q_learning,train,-6.89999999999999,139,0,135.5,300
250,q_learning,train,-2.0999999999999837,80,0,135.5,300
251,q_learning,train,12.800000000000015,108,0,135.5,300
252,q_learning,train,-29.199999999999978,90,0,135.5,300
253,q_learning,train,-4.5,20,0,135.5,300
254,q_learning,train,-4.0,21,0,135.5,300
255,q_learning,train,-7.700000000000003,63,0,135.5,300
256,q_learning,train,-11.400000000000002,60,0,135.5,300
257,q_learning,train,-15.600000000000001,115,0,135.5,300
258,q_learning,train,-12.000000000000002,63,0,135.5,300
259,q_learning,train,52.29999999999981,220,0,135.5,300
260,q_learning,train,0.600000000000068,228,0,135.5,300
261,q_learning,train,-81.20000000000033,256,0,135.5,300
262,q_learning,train,-13.500000000000004,48,0,135.5,300
263,q_learning,train,-14.900000000000004,65,0,135.5,300
264,q_learning,train,-6.399999999999964,300,0,135.5,300
265,q_learning,train,-2.0,13,0,135.5,300
266,q_learning,train,-30.099999999999916,182,0,135.5,300
267,q_learning,train,-37.900000000000006,300,0,135.5,300
268,q_learning,train,29.600000000000087,300,0,135.5,300
269,q_learning,train,45.699999999999946,300,0,135.5,300
270,q_learning,train,58.5,184,0,135.5,300
271,q_learning,train,65.39999999999999,160,0,135.5,300
272,q_learning,train,27.900000000000013,300,0,135.5,300
273,q_learning,train,9.30000000000004,300,0,135.5,300
274,q_learning,train,-9.600000000000005,78,0,135.5,300
275,q_learning,train,68.79999999999998,300,0,135.5,300
276,q_learning,train,122.0,300,0,135.5,300
277,q_learning,train,-12.099999999999952,241,0,135.5,300
278,q_learning,train,52.400000000000006,300,0,135.5,300
279,q_learning,train,-42.000000000000036,211,0,135.5,300
280,q_learning,train,-24.099999999999937,162,0,135.5,300
281,q_learning,train,77.99999999999999,300,0,135.5,300
282,q_learning,train,-16.499999999999982,250,0,135.5,300
283,q_learning,train,-45.000000000000014,222,0,135.5,300
284,q_learning,train,-15.000000000000004,39,0,135.5,300
285,q_learning,train,-45.40000000000012,300,0,135.5,300
286,q_learning,train,-10.600000000000005,53,0,135.5,300
287,q_learning,train,-0.5000000000000009,46,0,135.5,300
288,q_learning,train,-23.89999999999996,117,0,135.5,300
289,q_learning,train,-17.8,73,0,135.5,300
290,q_learning,train,-31.3,89,0,135.5,300
291,q_learning,train,-4.700000000000001,58,0,135.5,300
292,q_learning,train,48.70000000000003,300,0,135.5,300
293,q_learning,train,135.6,300,1,135.6,300
294,q_learning,train,-5.399999999999985,124,0,135.6,300
295,q_learning,train,-5.299999999999967,259,0,135.6,300
296,q_learning,train,-60.50000000000035,300,0,135.6,300
297,q_learning,train,-45.500000000000064,142,0,135.6,300
298,q_learning,train,-105.40000000000025,300,0,135.6,300
299,q_learning,train,62.00000000000003,268,0,135.6,300
